      Time  GainLoop    Lambda     P_Adm    P_Fuel     P_Oil       TPS       RPM     T_Air    T_Fuel     T_Oil   T_Water     Vbatt       Pdl  VehicleSpeed  Gear_Pot  P2P_Available  Learn_TPS2Max  Learn_TPS2Min  WS_FL_filt  WS_FR_filt
     0:000     1.000     1.038       910     3.647    -0.008      31.9        73      46.3      36.5      44.4      47.3     10.04       1.0             0         1              0           4370            629        0.00        0.00
     0:050     1.000     0.954       910     3.502    -0.008      32.0       101      46.3      36.5      44.4      47.3     10.04       1.0             0         1              0           4370            629        0.00        0.00
     0:100     1.000     0.953       910     3.104     0.020      32.0       125      46.3      36.5      44.4      47.3     10.04       1.0             0         1              0           4370            629        0.00        0.00
     0:150     1.000     1.003       910     3.225     0.074      32.0       122      46.3      36.5      44.4      47.3     10.05       1.0             0         1              0           4370            629        0.00        0.00
     0:200     1.016     1.036       910     3.462     0.131      32.0        97      46.3      36.5      44.4      47.3     10.05       1.0             0         1              0           4370            629        0.00        0.00
     0:250     1.036     1.044       910     3.515     0.169      32.0       147      46.3      36.5      44.4      47.3     10.01       1.0             0         1              0           4370            629        0.00        0.00
     0:300     1.036     1.046       910     3.533     0.185      31.9       127      46.3      36.5      44.4      47.3     10.01       1.0             0         1              0           4370            629        0.00        0.00
     0:350     1.057     1.067       910     3.550     0.227      32.0       189      46.3      36.5      44.4      47.3     10.30       1.0             0         1              0           4370            629        0.00        0.00
     0:400     1.057     1.090       910     3.553     0.265      32.0       145      46.3      36.5      44.4      47.3     10.30       1.0             0         1              0           4370            629        0.00        0.00
     0:450     1.081     1.118       910     3.558     0.322      32.0       565      46.3      36.5      44.4      47.3     10.44       1.0             0         1              0           4370            629        0.00        0.00
     0:500     1.110     1.146       910     3.551     0.355      32.0       911      46.3      36.5      44.4      47.3     10.44       1.0             0         1              0           4370            629        0.00        0.00
     0:550     1.110     1.168       910     3.565     0.602      18.0      1365      46.3      36.5      44.4      47.3     10.52       1.0             0         1              0           4370            629        0.00        0.00
     0:600     1.143     1.203       910     3.540     1.407      17.4      1760      46.3      36.5      44.4      47.3     10.52       1.8             0         1              0           4370            629        0.00        0.00
     0:650     1.179     1.239       910     3.548     2.809      20.0      1880      46.3      36.5      44.4      47.3     10.73       8.2             0         1              0           4370            629        0.00        0.00
     0:700     1.179     1.264       910     3.573     3.937      21.5      1900      46.3      36.5      44.4      47.3     10.73      16.8             0         1              0           4370            629        0.00        0.00
     0:750     1.200     1.082       468     3.580     4.349      21.0      1903      46.3      36.5      44.4      47.3     10.83      23.4             0         1              0           4370            629        0.00        0.00
     0:800     1.200     0.959       468     3.581     4.491      20.2      1865      46.3      36.5      44.4      47.3     10.83      28.1             0         1              0           4370            629        0.00        0.00
     0:850     1.200     0.908       468     3.584     4.490      21.3      1810      46.3      36.5      44.4      47.3     10.88      25.2             0         1              0           4370            629        0.00        0.00
     0:900     1.200     0.888       468     3.588     4.483      21.4      1754      46.3      36.5      44.4      47.3     10.88       7.4             0         1              0           4370            629        0.00        0.00
     0:950     1.200     0.879       468     3.601     4.528      20.7      1691      46.3      36.5      44.4      47.3     11.34       1.0             0         1              0           4370            629        0.00        0.00
     1:000     1.200     0.873       468     3.613     4.530      19.6      1639      46.3      36.5      44.4      47.3     11.34       1.0             0         1              0           4370            629        0.00        0.00
     1:050     1.200     0.869       468     3.612     4.444      19.2      1581      46.3      36.5      44.4      47.3     11.46       7.2             0         1              0           4370            629        0.00        0.00
     1:100     1.200     0.866       468     3.631     4.430      19.3      1552      46.3      36.5      44.4      47.3     11.46      21.5             0         1              0           4370            629        0.00        0.00
     1:150     1.200     0.864       468     3.611     4.454      28.6      1478      46.3      36.5      44.4      47.3     11.53      43.8             0         1              0           4370            629        0.00        0.00
     1:200     1.200     0.863       468     3.575     4.359      38.0      1444      46.3      36.5      44.4      47.3     11.53      53.3             0         1              0           4370            629        0.00        0.00
     1:250     1.200     0.861       661     3.611     4.356      43.3      1783      45.9      36.6      44.4      47.3     11.49      55.0             0         1              0           4370            629        0.00        0.00
     1:300     1.200     0.859       661     3.606     4.349      34.9      2276      45.9      36.6      44.4      47.3     11.49      27.0             0         1              0           4370            629        0.00        0.00
     1:350     1.200     0.857       661     3.588     4.439      19.7      2670      45.9      36.6      44.4      47.3     11.45       1.0             0         1              0           4370            629        0.00        0.00
     1:400     1.200     0.858       661     3.621     4.619      19.6      2671      45.9      36.6      44.4      47.3     11.45       1.0             0         1              0           4370            629        0.00        0.00
     1:450     1.200     0.860       661     3.623     4.793      19.8      2654      45.9      36.6      44.4      47.3     11.48       1.0             0         1              0           4370            629        0.00        0.00
     1:500     1.200     0.866       661     3.630     4.864      20.0      2489      45.9      36.6      44.4      47.3     11.48       1.0             0         1              0           4370            629        0.00        0.00
     1:550     1.200     0.877       661     3.618     4.896      20.1      2314      45.9      36.6      44.4      47.3     11.47       1.0             0         1              0           4370            629        0.00        0.00
