      Time  GainLoop    Lambda     P_Adm    P_Fuel     P_Oil       TPS       RPM     T_Air    T_Fuel     T_Oil   T_Water     Vbatt       Pdl  VehicleSpeed  Gear_Pot  P2P_Available  Learn_TPS2Max  Learn_TPS2Min  WS_FL_filt  WS_FR_filt
     0:000     1.100     1.000       538     4.037     3.762      43.9      3754      38.9      33.7      86.0      72.4     12.48      58.4            80         3              0           4422            624       76.10       80.19
     0:050     1.100     1.000       538     4.083     3.781      43.8      3823      38.9      33.7      86.0      72.4     12.48      58.4            80         3              0           4422            624       76.66       80.15
     0:100     1.100     1.000       538     4.323     3.765      43.3      3761      38.9      33.7      86.0      72.4     12.48      58.9            80         3              0           4422            624       76.87       80.10
     0:150     1.100     1.000       538     4.430     3.782      43.9      3791      38.9      33.7      86.0      72.4     12.38      60.1            80         3              0           4422            624       76.97       80.10
     0:200     1.100     1.000       538     4.473     3.730      47.8      3815      38.9      33.7      86.0      72.4     12.38      64.2            80         3              0           4422            624       77.08       80.20
     0:250     1.100     1.000       538     4.527     3.788      46.5      3810      38.9      33.8      86.0      72.4     12.36      64.0            80         3              0           4422            624       77.16       80.27
     0:300     1.100     1.000       538     4.864     3.778      46.6      3814      38.9      33.8      86.0      72.4     12.36      62.2            81         3              0           4422            624       77.30       80.35
     0:350     1.100     1.000       538     5.019     3.761      47.1      3834      38.9      33.8      86.0      72.4     12.38      63.3            81         3              0           4422            624       77.48       80.56
     0:400     1.100     1.000       538     5.040     3.779      47.5      3910      38.9      33.8      86.0      72.4     12.38      64.3            81         3              0           4422            624       77.74       80.71
     0:450     1.100     1.000       538     5.057     3.749      47.1      3921      38.9      33.9      86.0      72.4     12.39      64.8            81         3              0           4422            624       77.93       80.84
     0:500     1.100     1.000       538     5.115     3.790      46.6      3875      38.9      33.9      86.0      72.4     12.39      62.9            81         3              0           4422            624       78.11       81.02
     0:550     1.100     1.000       530     5.102     3.790      46.6      3924      38.9      33.9      86.0      72.4     12.44      64.7            82         3              0           4422            624       78.27       81.17
     0:600     1.100     1.000       530     5.033     3.792      49.3      3941      38.9      33.9      86.0      72.4     12.44      67.5            82         3              0           4422            624       78.50       81.36
     0:650     1.100     1.000       530     4.997     3.799      50.7      4007      38.9      33.9      86.1      72.4     12.41      67.9            82         3              0           4422            624       78.73       81.61
     0:700     1.100     1.000       530     5.213     3.742      49.7      3922      38.9      33.9      86.1      72.4     12.41      69.0            82         3              0           4422            624       78.94       81.81
     0:750     1.100     1.000       530     5.402     3.790      49.6      3992      38.9      33.9      86.1      72.4     12.38      67.8            83         3              0           4422            624       79.16       82.11
     0:800     1.100     1.000       530     5.463     3.805      54.7      3995      38.9      33.9      86.1      72.4     12.38      76.1            83         3              0           4422            624       79.38       82.36
     0:850     1.100     1.000       530     5.436     3.761      63.4      3995      38.9      34.0      86.1      72.4     12.43     100.9            83         3              0           4422            624       79.63       82.66
     0:900     1.100     1.000       530     5.700     3.784      62.0      4059      38.9      34.0      86.1      72.4     12.43     100.3            83         3              0           4422            624       80.00       82.89
     0:950     1.100     1.000       530     6.202     3.788      62.0      4065      38.9      34.0      86.1      72.4     12.32     100.1            84         3              0           4422            624       80.32       83.17
     1:000     1.100     1.000       530     6.355     3.770      62.0      3988      38.9      34.0      86.1      72.4     12.32     100.1            84         3              0           4422            624       80.74       83.45
     1:050     1.100     1.000       511     6.408     3.784      62.0      4033      38.9      34.1      86.1      72.4     12.20     100.1            84         3              0           4422            624       81.08       83.88
     1:100     1.100     1.000       511     6.411     3.784      62.0      4038      38.9      34.1      86.1      72.4     12.20     100.1            85         3              0           4422            624       81.55       84.19
     1:150     1.100     1.000       511     6.416     3.761      62.0      4117      38.9      34.1      86.1      72.4     12.31     100.1            85         3              0           4422            624       81.89       84.59
     1:200     1.100     1.000       511     6.399     3.792      62.0      4136      38.9      34.1      86.1      72.4     12.31     100.1            86         3              0           4422            624       82.47       84.98
     1:250     1.100     1.000       511     6.360     3.828      62.0      4098      38.9      34.1      86.1      72.4     12.37     100.1            86         3              0           4422            624       82.99       85.34
     1:300     1.100     1.000       511     6.375     3.804      62.0      4155      38.9      34.1      86.1      72.4     12.37      99.9            87         3              0           4422            624       83.75       85.85
     1:350     1.100     1.000       511     6.390     3.799      62.0      4176      38.9      34.1      86.1      72.4     12.42      99.8            87         3              0           4422            624       84.24       86.30
     1:400     1.100     1.000       511     6.355     3.838      62.0      4233      38.9      34.1      86.1      72.4     12.42      99.8            87         3              0           4422            624       84.99       86.66
     1:450     1.100     1.000       511     6.345     3.845      62.0      4220      38.9      34.2      86.1      72.4     12.42      99.6            88         3              0           4422            624       85.79       87.13
     1:500     1.100     1.000       511     6.289     3.840      62.0      4276      38.9      34.2      86.1      72.4     12.42      99.5            88         3              0           4422            624       86.61       87.64
     1:550     1.100     1.000       513     6.318     3.854      62.0      4357      38.9      34.2      86.1      72.4     12.30      97.3            89         3              0           4422            624       87.18       88.02
