      Time  GainLoop    Lambda     P_Adm    P_Fuel     P_Oil       TPS       RPM     T_Air    T_Fuel     T_Oil   T_Water     Vbatt       Pdl  VehicleSpeed  Gear_Pot  P2P_Available  Learn_TPS2Max  Learn_TPS2Min  WS_FL_filt  WS_FR_filt
     0:000     0.000     0.000       563     0.000     0.000      31.5       115      50.9      44.9      44.4       0.0      0.00      12.0             0         0              0           4370            629        0.00        0.00
     0:050     1.000     0.778       563     0.162    -0.004      32.4       122      50.9      44.9      44.4      47.2      0.00      12.0             0         0              0           4370            629        0.00        0.00
     0:100     1.000     0.791       563     0.176    -0.003      32.4        98      50.9      44.9      44.4      47.2      8.04      12.2             0         1              0           4370            629        0.00        0.00
     0:150     1.000     0.796       563     0.193    -0.003      31.7       458      50.9      44.9      44.4      47.2      8.04      15.5             0         1              0           4370            629        0.00        0.00
     0:200     0.993     0.786       563     0.218    -0.002      31.9       867      50.9      44.9      44.4      47.2      7.93      23.3             0         1              0           4370            629        0.00        0.00
     0:250     0.993     0.817       563     0.239     0.000      20.4      1590      50.9      44.9      44.4      47.2      7.93      30.7             0         1              0           4370            629        0.00        0.00
     0:300     0.990     0.843       563     0.263     0.034      22.4      1813      50.9      44.9      44.4      47.2      8.66      34.2             0         1              0           4370            629        0.00        0.00
     0:350     0.991     0.866       563     0.281     0.151      28.4      1862      50.9      44.9      44.4      47.2      8.66      38.1             0         1              0           4370            629        0.00        0.00
     0:400     0.991     0.886       563     0.303     0.242      29.7      1988      50.9      44.9      44.4      47.2      9.17      38.0             0         1              0           4370            629        0.00        0.00
     0:450     0.995     0.900       563     0.324     0.308      25.1      2021      50.9      44.9      44.4      47.3      9.17      24.7             0         1              0           4370            629        0.00        0.00
     0:500     1.002     0.926       563     0.347     0.375      21.8      2083      50.9      44.9      44.4      47.3      9.92       1.0             0         1              0           4370            629        0.00        0.00
     0:550     1.002     0.974       563     0.373     0.455      20.9      2073      50.9      44.9      44.4      47.3      9.92       1.0             0         1              0           4370            629        0.00        0.00
     0:600     1.016     0.991       563     0.407     0.819      19.3      2039      50.9      44.9      44.4      47.3     11.07       1.0             0         1              0           4370            629        0.00        0.00
     0:650     1.016     0.996       563     0.446     1.524      19.2      1996      50.9      44.9      44.4      47.3     11.07       1.0             0         1              0           4370            629        0.00        0.00
     0:700     1.029     0.998       563     0.487     2.607      19.3      1931      50.9      44.9      44.4      47.3     11.23       1.0             0         1              0           4370            629        0.00        0.00
     0:750     1.043     0.998       563     0.524     3.360      20.0      1852      50.9      44.9      44.4      47.3     11.23       1.0             0         1              0           4370            629        0.00        0.00
     0:800     1.043     0.998       563     0.565     3.720      20.5      1752      50.9      44.9      44.4      47.3     11.30       1.0             0         1              0           4370            629        0.00        0.00
     0:850     1.058     0.998       563     0.609     3.937      20.5      1678      50.9      44.9      44.4      47.3     11.30       2.7             0         1              0           4370            629        0.00        0.00
     0:900     1.073     0.997       394     0.657     4.102      20.4      1603      50.2      44.9      44.4      47.3     11.35       7.1             0         1              0           4370            629        0.00        0.00
     0:950     1.073     0.997       394     0.708     4.158      20.1      1546      50.2      44.9      44.4      47.3     11.35      12.5             0         1              0           4370            629        0.00        0.00
     1:000     1.088     0.997       394     0.745     4.213      19.8      1481      50.2      44.9      44.4      47.3     11.41      12.6             0         1              0           4370            629        0.00        0.00
     1:050     1.088     0.997       394     0.764     4.175      19.8      1434      50.2      44.9      44.4      47.3     11.41      11.7             0         1              0           4370            629        0.00        0.00
     1:100     1.102     0.996       394     0.782     4.155      19.8      1445      50.2      44.9      44.4      47.3     11.47       5.0             0         1              0           4370            629        0.00        0.00
     1:150     1.117     0.996       394     0.811     4.153      19.8      1396      50.2      44.9      44.4      47.3     11.47       2.8             0         1              0           4370            629        0.00        0.00
     1:200     1.117     0.996       394     0.850     4.106      19.8      1377      50.2      44.9      44.4      47.3     11.47       5.2             0         1              0           4370            629        0.00        0.00
     1:250     1.131     0.996       394     0.884     4.142      20.0      1322      50.2      44.9      44.4      47.3     11.47      11.4             0         1              0           4370            629        0.00        0.00
     1:300     1.145     0.995       394     0.915     4.114      20.0      1307      50.2      44.9      44.4      47.3     11.45      17.9             0         1              0           4370            629        0.00        0.00
     1:350     1.145     0.995       394     0.965     4.108      20.0      1301      50.2      44.9      44.4      47.3     11.45      24.0             0         1              0           4370            629        0.00        0.00
     1:400     1.160     0.993       518     1.024     4.098      20.0      1279      49.7      44.9      44.4      47.3     11.42      23.4             0         1              0           4370            629        0.00        0.00
     1:450     1.160     0.992       518     1.074     4.087      20.0      1244      49.7      44.9      44.4      47.3     11.42       1.0             0         1              0           4370            629        0.00        0.00
     1:500     1.174     0.992       518     1.101     4.079      20.0      1214      49.7      44.9      44.4      47.3     11.42       1.0             0         1              0           4370            629        0.00        0.00
     1:550     1.188     0.991       518     1.189     4.015      20.0      1283      49.7      44.9      44.4      47.3     11.42       1.0             0         1              0           4370            629        0.00        0.00
     1:600     1.188     0.990       518     1.268     3.997      20.1      1263      49.7      44.9      44.4      47.3     11.44       1.0             0         1              0           4370            629        0.00        0.00
     1:650     1.200     0.988       518     1.345     4.009      20.0      1274      49.7      44.9      44.4      47.3     11.44       1.0             0         1              0           4370            629        0.00        0.00
     1:700     1.200     0.987       518     1.407     4.058      20.0      1295      49.7      44.9      44.4      47.3     11.44       1.0             0         1              0           4370            629        0.00        0.00
     1:750     1.200     0.987       518     1.515     4.031      20.0      1333      49.7      44.9      44.4      47.3     11.44       1.0             0         1              0           4370            629        0.00        0.00
     1:800     1.200     0.991       518     1.613     4.093      20.1      1349      49.7      44.9      44.4      47.3     11.39       1.0             0         1              0           4370            629        0.00        0.00
     1:850     1.200     0.993       518     1.719     4.073      20.0      1384      49.7      44.9      44.4      47.3     11.39       1.0             0         1              0           4370            629        0.00        0.00
     1:900     1.200     0.993       522     1.855     4.135      20.0      1418      49.7      44.8      44.3      47.3     11.38       1.0             0         1              0           4370            629        0.00        0.00
     1:950     1.200     0.992       522     2.007     4.150      20.0      1424      49.7      44.8      44.3      47.3     11.38       2.6             0         1              0           4370            629        0.00        0.00
     2:000     1.200     0.992       522     2.203     4.173      20.1      1444      49.7      44.8      44.3      47.3     11.35       3.9             0         1              0           4370            629        0.00        0.00
     2:050     1.200     0.992       522     2.382     4.181      20.0      1430      49.7      44.8      44.3      47.3     11.35       6.3             0         1              0           4370            629        0.00        0.00
     2:100     1.200     0.991       522     2.625     4.153      20.1      1482      49.7      44.8      44.3      47.3     11.30       6.9             0         1              0           4370            629        0.00        0.00
     2:150     1.200     0.990       522     2.823     4.208      20.1      1486      49.7      44.8      44.3      47.3     11.30       3.6             0         1              0           4370            629        0.00        0.00
     2:200     1.200     0.990       522     3.044     4.206      20.1      1503      49.7      44.8      44.3      47.3     11.37       1.0             0         1              0           4370            629        0.00        0.00
     2:250     1.200     0.988       522     3.265     4.219      20.1      1532      49.7      44.8      44.3      47.3     11.37       1.0             0         1              0           4370            629        0.00        0.00
     2:300     1.200     0.987       522     3.464     4.254      20.1      1496      49.7      44.8      44.3      47.3     11.34       1.0             0         1              0           4370            629        0.00        0.00
     2:350     1.200     0.986       522     3.582     4.238      20.1      1491      49.7      44.8      44.3      47.3     11.34       1.0             0         1              0           4370            629        0.00        0.00
     2:400     1.200     0.985       480     3.620     4.256      20.1      1513      49.3      44.8      44.3      47.3     11.28       1.0             0         1              0           4370            629        0.00        0.00
     2:450     1.200     0.982       480     3.620     4.251      20.1      1494      49.3      44.8      44.3      47.3     11.28       1.0             0         1              0           4370            629        0.00        0.00
     2:500     1.200     0.981       480     3.631     4.234      20.1      1495      49.3      44.8      44.3      47.3     11.29       1.0             0         1              0           4370            629        0.00        0.00
     2:550     1.200     0.979       480     3.632     4.267      20.1      1505      49.3      44.8      44.3      47.3     11.29       1.0             0         1              0           4370            629        0.00        0.00
     2:600     1.200     0.978       480     3.608     4.258      20.1      1480      49.3      44.8      44.3      47.3     11.32       1.0             0         1              0           4370            629        0.00        0.00
     2:650     1.200     0.975       480     3.591     4.259      20.1      1453      49.3      44.8      44.3      47.3     11.32       1.0             0         1              0           4370            629        0.00        0.00
     2:700     1.200     0.973       480     3.577     4.263      20.2      1466      49.3      44.8      44.3      47.3     11.31       1.0             0         1              0           4370            629        0.00        0.00
     2:750     1.200     0.970       480     3.593     4.225      20.2      1478      49.3      44.8      44.3      47.3     11.31       1.0             0         1              0           4370            629        0.00        0.00
     2:800     1.200     0.966       480     3.616     4.275      20.2      1474      49.3      44.8      44.3      47.3     11.13       1.0             0         1              0           4370            629        0.00        0.00
     2:850     1.200     0.964       480     3.639     4.269      20.2      1462      49.3      44.8      44.3      47.3     11.13       1.0             0         1              0           4370            629        0.00        0.00
     2:900     1.200     0.961       487     3.647     4.243      20.2      1452      49.3      44.8      44.3      47.3     11.23       1.0             0         1              0           4370            629        0.00        0.00
     2:950     1.200     0.960       487     3.607     4.284      20.4      1469      49.3      44.8      44.3      47.3     11.23       1.0             0         1              0           4370            629        0.00        0.00
     3:000     1.200     0.958       487     3.606     4.253      20.4      1444      49.3      44.8      44.3      47.3     11.26       1.0             0         1              0           4370            629        0.00        0.00
     3:050     1.200     0.955       487     3.611     4.283      20.4      1441      49.3      44.8      44.3      47.4     11.26       1.0             0         1              0           4370            629        0.00        0.00
     3:100     1.200     0.953       487     3.604     4.281      20.2      1448      49.3      44.8      44.3      47.4     11.27       1.0             0         1              0           4370            629        0.00        0.00
     3:150     1.200     0.952       487     3.599     4.244      20.2      1438      49.3      44.8      44.3      47.4     11.27       1.0             0         1              0           4370            629        0.00        0.00
     3:200     1.200     0.949       487     3.621     4.289      20.2      1442      49.3      44.8      44.3      47.4     11.20       1.0             0         1              0           4370            629        0.00        0.00
     3:250     1.200     0.948       487     3.608     4.268      20.2      1468      49.3      44.8      44.3      47.4     11.20       1.0             0         1              0           4370            629        0.00        0.00
     3:300     1.200     0.947       487     3.608     4.289      20.2      1472      49.3      44.8      44.3      47.4     11.26       1.0             0         1              0           4370            629        0.00        0.00
     3:350     1.200     0.945       487     3.640     4.300      20.2      1455      49.3      44.8      44.3      47.4     11.26       1.0             0         1              0           4370            629        0.00        0.00
     3:400     1.200     0.943       489     3.640     4.273      20.2      1490      48.9      44.8      44.3      47.4     11.35       1.0             0         1              0           4370            629        0.00        0.00
     3:450     1.200     0.942       489     3.613     4.316      20.2      1468      48.9      44.8      44.3      47.4     11.35       1.0             0         1              0           4370            629        0.00        0.00
     3:500     1.200     0.940       489     3.614     4.311      20.2      1473      48.9      44.8      44.3      47.4     11.43       1.0             0         1              0           4370            629        0.00        0.00
     3:550     1.200     0.938       489     3.595     4.316      20.4      1469      48.9      44.8      44.3      47.4     11.43       1.0             0         1              0           4370            629        0.00        0.00
     3:600     1.200     0.936       489     3.629     4.334      20.4      1485      48.9      44.8      44.3      47.4     11.37       1.0             0         1              0           4370            629        0.00        0.00
     3:650     1.200     0.934       489     3.639     4.296      20.2      1475      48.9      44.8      44.3      47.4     11.37       1.0             0         1              0           4370            629        0.00        0.00
     3:700     1.200     0.932       489     3.633     4.342      20.4      1473      48.9      44.8      44.3      47.4     11.55       1.0             0         1              0           4370            629        0.00        0.00
     3:750     1.200     0.931       489     3.632     4.341      20.4      1476      48.9      44.8      44.3      47.4     11.55       1.0             0         1              0           4370            629        0.00        0.00
     3:800     1.200     0.928       489     3.617     4.322      20.2      1481      48.9      44.8      44.3      47.4     11.61       1.0             0         1              0           4370            629        0.00        0.00
     3:850     1.200     0.926       489     3.610     4.348      20.2      1457      48.9      44.8      44.3      47.4     11.61       1.0             0         1              0           4370            629        0.00        0.00
     3:900     1.200     0.923       491     3.613     4.329      20.2      1471      48.9      44.8      44.3      47.4     11.53       1.0             0         1              0           4370            629        0.00        0.00
     3:950     1.200     0.919       491     3.656     4.353      20.2      1504      48.9      44.8      44.3      47.4     11.53       1.0             0         1              0           4370            629        0.00        0.00
     4:000     1.200     0.917       491     3.648     4.357      20.4      1487      48.9      44.8      44.3      47.4     11.68       1.0             0         1              0           4370            629        0.00        0.00
     4:050     1.200     0.913       491     3.655     4.327      20.4      1498      48.9      44.8      44.3      47.4     11.68       1.0             0         1              0           4370            629        0.00        0.00
     4:100     1.200     0.911       491     3.661     4.379      20.2      1467      48.9      44.8      44.3      47.4     11.77       1.0             0         1              0           4370            629        0.00        0.00
     4:150     1.200     0.908       491     3.641     4.370      20.4      1428      48.9      44.8      44.3      47.4     11.77       1.0             0         1              0           4370            629        0.00        0.00
     4:200     1.200     0.905       491     3.632     4.350      20.4      1443      48.9      44.8      44.3      47.4     11.69       1.0             0         1              0           4370            629        0.00        0.00
     4:250     1.200     0.902       491     3.641     4.355      20.4      1442      48.9      44.8      44.3      47.4     11.69       1.0             0         1              0           4370            629        0.00        0.00
     4:300     1.200     0.900       491     3.628     4.316      20.4      1438      48.9      44.8      44.3      47.4     11.76       1.0             0         1              0           4370            629        0.00        0.00
     4:350     1.200     0.899       491     3.624     4.366      20.2      1452      48.9      44.8      44.3      47.4     11.76       1.0             0         1              0           4370            629        0.00        0.00
     4:400     1.200     0.898       496     3.643     4.358      20.4      1456      48.9      44.8      44.3      47.4     11.74       1.0             0         1              0           4370            629        0.00        0.00
     4:450     1.200     0.898       496     3.627     4.353      20.4      1470      48.9      44.8      44.3      47.4     11.74       1.0             0         1              0           4370            629        0.00        0.00
     4:500     1.200     0.898       496     3.625     4.373      20.4      1439      48.9      44.8      44.3      47.4     11.77       1.0             0         1              0           4370            629        0.00        0.00
     4:550     1.200     0.897       496     3.642     4.345      20.4      1463      48.9      44.8      44.3      47.4     11.77       1.0             0         1              0           4370            629        0.00        0.00
     4:600     1.200     0.896       496     3.637     4.382      20.4      1456      48.9      44.8      44.3      47.4     11.88       1.0             0         1              0           4370            629        0.00        0.00
     4:650     1.200     0.895       496     3.639     4.381      20.4      1429      48.9      44.8      44.3      47.4     11.88       1.0             0         1              0           4370            629        0.00        0.00
     4:700     1.200     0.893       496     3.649     4.353      20.2      1415      48.9      44.8      44.3      47.4     11.81       1.0             0         1              0           4370            629        0.00        0.00
     4:750     1.200     0.892       496     3.628     4.366      20.4      1403      48.9      44.8      44.3      47.4     11.81       1.0             0         1              0           4370            629        0.00        0.00
     4:800     1.200     0.889       496     3.641     4.323      20.4      1419      48.9      44.8      44.3      47.4     11.83       1.0             0         1              0           4370            629        0.00        0.00
     4:850     1.200     0.887       496     3.625     4.370      20.4      1425      48.9      44.8      44.3      47.4     11.83       1.0             0         1              0           4370            629        0.00        0.00
     4:900     1.200     0.886       503     3.647     4.355      20.4      1413      48.4      44.8      44.3      47.4     11.89       1.0             0         1              0           4370            629        0.00        0.00
     4:950     1.200     0.884       503     3.638     4.349      20.4      1434      48.4      44.8      44.3      47.4     11.89       1.0             0         1              0           4370            629        0.00        0.00
     5:000     1.200     0.882       503     3.657     4.370      20.4      1435      48.4      44.8      44.3      47.4     11.97       1.0             0         1              0           4370            629        0.00        0.00
     5:050     1.200     0.881       503     3.641     4.340      20.5      1408      48.4      44.8      44.3      47.4     11.97       1.0             0         1              0           4370            629        0.00        0.00
     5:100     1.200     0.879       503     3.665     4.386      20.5      1433      48.4      44.8      44.3      47.4     11.99       1.0             0         1              0           4370            629        0.00        0.00
     5:150     1.200     0.877       503     3.647     4.358      20.5      1401      48.4      44.8      44.3      47.4     11.99       1.0             0         1              0           4370            629        0.00        0.00
     5:200     1.200     0.876       503     3.666     4.370      20.5      1384      48.4      44.8      44.3      47.4     12.02       1.0             0         1              0           4370            629        0.00        0.00
     5:250     1.200     0.875       503     3.658     4.371      20.5      1399      48.4      44.8      44.3      47.4     12.02       1.0             0         1              0           4370            629        0.00        0.00
     5:300     1.200     0.874       503     3.643     4.315      20.5      1411      48.4      44.8      44.3      47.4     12.05       1.0             0         1              0           4370            629        0.00        0.00
     5:350     1.200     0.873       503     3.654     4.364      20.5      1398      48.4      44.8      44.3      47.4     12.05       1.0             0         1              0           4370            629        0.00        0.00
     5:400     1.200     0.885       511     3.637     4.345      20.5      1427      48.4      44.8      44.3      47.4     12.08       1.0             0         1              0           4370            629        0.00        0.00
