      Time  GainLoop    Lambda     P_Adm    P_Fuel     P_Oil       TPS       RPM     T_Air    T_Fuel     T_Oil   T_Water     Vbatt       Pdl  VehicleSpeed  Gear_Pot  P2P_Available  Learn_TPS2Max  Learn_TPS2Min  WS_FL_filt  WS_FR_filt
     0:000     0.000     0.000       806     0.000     0.000      31.7       180      47.6      37.7      44.4       0.0      0.00       1.0             0         0              0           4370            629        0.00        0.00
     0:050     1.000     0.783       806     2.635     0.240      32.3       116      47.6      37.7      44.4      45.4      0.00       1.0             0         0              0           4370            629        0.00        0.00
     0:100     1.000     0.799       806     2.754     0.270      32.3       196      47.6      37.7      44.4      45.4      8.25       1.0             0         1              0           4370            629        0.00        0.00
     0:150     1.000     0.794       806     2.849     0.299      32.1       213      47.6      37.7      44.4      45.4      8.25       3.3             0         1              0           4370            629        0.00        0.00
     0:200     0.994     0.806       806     2.887     0.331      32.1       548      47.6      37.7      44.4      45.4      8.35       7.2             0         1              0           4370            629        0.00        0.00
     0:250     0.994     0.846       806     2.940     0.438      31.9       904      47.6      37.7      44.4      45.4      8.35      16.0             0         1              0           4370            629        0.00        0.00
     0:300     0.994     0.873       806     3.038     0.737      31.9       973      47.6      37.7      44.4      45.4      9.03      22.4             0         1              0           4370            629        0.00        0.00
     0:350     0.998     0.895       806     3.130     1.252      20.0      1339      47.6      37.7      44.4      45.4      9.03      27.8             0         1              0           4370            629        0.00        0.00
     0:400     0.998     0.916       806     3.245     1.813      18.7      1640      47.6      37.7      44.4      45.4      9.37      26.3             0         1              0           4370            629        0.00        0.00
     0:450     1.004     0.943       806     3.384     2.599      20.0      1712      47.6      37.7      44.4      45.4      9.37      13.9             0         1              0           4370            629        0.00        0.00
     0:500     1.014     0.955       806     3.476     3.646      21.1      1763      47.6      37.7      44.4      45.4      9.51       1.0             0         1              0           4370            629        0.00        0.00
     0:550     1.014     0.912       806     3.503     4.126      21.0      1786      47.6      37.7      44.4      45.4      9.51       1.0             0         1              0           4370            629        0.00        0.00
     0:600     1.020     0.906       806     3.530     4.335      20.1      1749      47.6      37.7      44.4      45.4     10.64       1.0             0         1              0           4370            629        0.00        0.00
     0:650     1.020     0.899       806     3.580     4.403      19.3      1701      47.6      37.7      44.4      45.4     10.64       1.0             0         1              0           4370            629        0.00        0.00
     0:700     1.025     0.896       806     3.596     4.391      19.3      1621      47.6      37.7      44.4      45.4     11.21       1.0             0         1              0           4370            629        0.00        0.00
     0:750     1.029     0.893       806     3.620     4.436      19.6      1575      47.6      37.7      44.4      45.5     11.21       3.1             0         1              0           4370            629        0.00        0.00
     0:800     1.029     0.890       806     3.599     4.430      20.0      1543      47.6      37.7      44.4      45.5     11.33       9.0             0         1              0           4370            629        0.00        0.00
